OperationIndex,OperationDuration
0,1
1,6
2,3
3,2
4,1
5,1
6,1
7,4
8,2
9,2
10,1
11,7
12,4
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,3
26,1
27,1
28,2
29,1
30,2
31,1
32,1
33,6
34,7
35,3
36,1
37,1
38,2
39,1
40,1
41,1
42,1
43,5
44,1
45,2
46,1
47,1
48,2
49,1
50,7
51,3
52,6
53,5
54,2
55,5
56,1
57,1
58,1
59,1
60,1
61,1
62,4
63,1
64,1
65,2
66,1
67,3
68,1
69,9
70,3
71,1
72,1
73,3
74,2
75,3
76,3
77,1
78,1
79,1
80,4
81,2
82,1
83,1
84,1
85,1
86,3
87,2
88,4
89,1
90,1
91,2
92,3
93,2
94,3
95,1
96,1
97,1
98,1
99,1
100,1
101,2
102,1
103,1
104,5
105,1
106,1
107,3
108,1
109,1
110,1
111,1
112,5
113,3
114,2
115,4
116,3
117,1
118,4
119,2
120,3
121,5
122,1
123,1
124,1
125,1
126,3
127,4
128,1
129,1
130,1
131,1
132,1
133,1
134,6
135,1
136,1
137,2
138,1
139,7
140,7
141,1
142,1
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,5
151,1
152,1
153,1
154,8
155,1
156,2
157,3
158,1
159,3
160,1
161,2
162,2
163,2
164,1
165,4
166,1
167,1
168,1
169,2
170,2
171,1
172,1
173,1
174,2
175,1
176,2
177,1
178,6
179,1
180,1
181,1
182,5
183,4
184,1
185,2
186,3
187,2
188,2
189,1
190,1
191,5
192,5
193,2
194,1
195,1
196,3
197,5
198,4
199,3
200,2
201,1
202,1
203,5
204,2
205,1
206,1
207,2
208,1
209,1
210,2
211,2
212,2
213,1
214,2
215,1
216,1
217,3
218,2
219,4
220,2
221,2
222,1
223,1
224,1
225,1
226,7
227,1
228,4
229,2
230,3
231,1
232,2
233,1
234,1
235,3
236,1
237,1
238,2
239,1
240,6
241,6
242,5
243,1
244,1
245,5
246,1
247,7
248,7
249,4
250,1
251,1
252,4
253,1
254,1
255,2
256,6
257,2
258,2
259,1
260,2
261,9
262,1
263,1
264,4
265,3
266,2
267,2
268,1
269,1
270,3
271,3
272,4
273,5
274,1
275,1
276,3
277,2
278,2
279,3
280,4
281,1
282,1
283,1
284,2
285,1
286,1
287,2
288,1
289,2
290,1
291,1
292,3
293,1
294,1
295,1
296,3
297,1
298,2
299,1
300,1
301,2
302,2
303,2
304,3
305,7
306,1
307,1
308,3
309,1
310,1
311,1
312,1
313,7
314,4
315,2
316,1
317,1
318,1
319,1
320,2
321,3
322,2
323,1
324,6
325,3
326,2
327,2
328,1
329,1
330,1
331,3
332,1
333,1
334,1
335,1
336,4
337,2
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,2
346,2
347,1
348,1
349,2
350,1
351,4
352,2
353,1
354,1
355,2
356,1
357,2
358,6
359,2
360,1
361,2
362,1
363,2
364,6
365,1
366,6
367,5
368,1
369,1
370,1
371,1
372,1
373,2
374,1
375,1
376,4
377,1
378,3
379,1
380,1
381,2
382,2
383,4
384,3
385,3
386,1
387,1
388,3
389,3
390,9
391,1
392,1
393,3
394,1
395,5
396,4
397,1
398,3
399,3
400,1
401,5
402,1
403,4
404,1
405,5
406,1
407,1
408,5
409,1
410,1
411,6
412,6
413,2
414,2
415,1
416,1
417,1
418,2
419,3
420,3
421,3
422,1
423,1
424,1
425,2
426,1
427,4
428,1
429,1
430,1
431,3
432,2
433,1
434,1
435,2
436,1
437,3
438,2
439,1
440,1
441,9
442,1
443,1
444,3
445,6
446,9
447,3
448,1
449,1
450,3
451,2
452,1
453,5
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,2
462,3
463,2
464,7
465,1
466,1
467,4
468,1
469,7
470,1
471,7
472,1
473,4
474,2
475,10
476,1
477,2
478,7
479,1
480,2
481,2
482,1
483,2
484,2
485,5
486,1
487,1
488,6
489,4
490,1
491,2
492,1
493,1
494,1
495,1
496,2
497,1
498,7
499,9
