OperationIndex,OperationDuration
0,2
1,15
2,7
3,5
4,1
5,1
6,1
7,10
8,5
9,6
10,1
11,18
12,9
13,1
14,1
15,1
16,2
17,4
18,3
19,2
20,5
21,1
22,2
23,2
24,3
25,8
26,1
27,4
28,4
29,1
30,5
31,1
32,1
33,15
34,17
35,8
36,2
37,1
38,6
39,3
40,1
41,3
42,1
43,12
44,1
45,5
46,2
47,4
48,4
49,1
50,17
51,7
52,14
53,11
54,5
55,13
56,1
57,1
58,1
59,2
60,2
61,2
62,9
63,2
64,2
65,4
66,1
67,8
68,1
69,22
70,7
71,1
72,1
73,8
74,6
75,7
76,7
77,1
78,2
79,1
80,10
81,5
82,2
83,1
84,2
85,2
86,7
87,5
88,11
89,3
90,1
91,6
92,7
93,4
94,7
95,3
96,4
97,3
98,1
99,1
100,1
101,5
102,2
103,4
104,12
105,1
106,3
107,7
108,1
109,1
110,2
111,1
112,13
113,8
114,5
115,10
116,8
117,1
118,11
119,4
120,8
121,11
122,2
123,1
124,1
125,3
126,9
127,10
128,1
129,4
130,3
131,1
132,1
133,2
134,14
135,2
136,4
137,6
138,2
139,18
140,16
141,1
142,3
143,2
144,2
145,1
146,5
147,3
148,1
149,2
150,12
151,1
152,1
153,3
154,21
155,1
156,6
157,7
158,1
159,7
160,2
161,5
162,5
163,4
164,1
165,9
166,2
167,1
168,1
169,4
170,6
171,1
172,4
173,1
174,5
175,1
176,6
177,2
178,14
179,1
180,2
181,1
182,13
183,10
184,1
185,5
186,8
187,4
188,4
189,1
190,1
191,11
192,12
193,5
194,2
195,2
196,6
197,11
198,11
199,8
200,5
201,1
202,1
203,11
204,5
205,1
206,1
207,5
208,1
209,1
210,4
211,6
212,5
213,1
214,6
215,1
216,2
217,7
218,5
219,9
220,5
221,4
222,1
223,2
224,2
225,1
226,18
227,2
228,11
229,5
230,8
231,3
232,4
233,3
234,1
235,6
236,2
237,1
238,5
239,1
240,14
241,15
242,12
243,2
244,1
245,13
246,3
247,17
248,17
249,10
250,2
251,2
252,10
253,2
254,1
255,4
256,14
257,6
258,4
259,1
260,5
261,23
262,1
263,4
264,10
265,7
266,6
267,6
268,2
269,2
270,8
271,8
272,10
273,12
274,4
275,3
276,8
277,5
278,6
279,8
280,11
281,2
282,2
283,1
284,4
285,1
286,3
287,4
288,2
289,4
290,1
291,1
292,9
293,2
294,1
295,4
296,7
297,1
298,5
299,1
300,1
301,4
302,4
303,5
304,6
305,19
306,4
307,2
308,8
309,2
310,3
311,1
312,1
313,16
314,9
315,6
316,3
317,1
318,1
319,1
320,4
321,6
322,5
323,2
324,15
325,7
326,4
327,5
328,3
329,1
330,2
331,7
332,1
333,1
334,1
335,1
336,10
337,6
338,3
339,1
340,3
341,3
342,1
343,3
344,3
345,5
346,5
347,1
348,2
349,5
350,3
351,10
352,5
353,1
354,1
355,5
356,1
357,4
358,14
359,4
360,2
361,5
362,3
363,4
364,14
365,2
366,16
367,12
368,1
369,1
370,1
371,1
372,1
373,6
374,1
375,2
376,9
377,1
378,8
379,2
380,1
381,6
382,5
383,10
384,7
385,8
386,2
387,1
388,7
389,8
390,23
391,3
392,2
393,7
394,2
395,13
396,10
397,3
